violation,item,country,shipper,station,importers,cause,cargo,remarks,article,manufacturers,year,month,day
3,19,15.0,549.0,23.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,18
3,19,57.0,0.0,18.0,0.0,0.0,8.0,8.0,27.0,1612.0,3,07,18
3,12,21.0,635.0,33.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,18
3,1,132.0,601.0,37.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,18
3,12,132.0,446.0,42.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,18
1,5,21.0,0.0,17.0,0.0,0.0,8.0,8.0,5.0,81.0,3,07,18
1,17,126.0,0.0,29.0,0.0,0.0,8.0,8.0,5.0,1722.0,3,07,18
1,17,126.0,0.0,29.0,0.0,0.0,8.0,8.0,5.0,1722.0,3,07,18
5,17,21.0,0.0,10.0,0.0,0.0,8.0,8.0,9.0,411.0,3,07,18
6,7,132.0,540.0,28.0,0.0,0.0,8.0,8.0,25.0,11.0,3,07,18
6,7,132.0,540.0,28.0,0.0,0.0,8.0,8.0,25.0,11.0,3,07,18
1,19,93.0,0.0,27.0,0.0,0.0,8.0,8.0,5.0,555.0,3,07,18
5,19,21.0,42.0,12.0,0.0,0.0,8.0,8.0,9.0,11.0,3,07,18
5,19,81.0,240.0,37.0,0.0,0.0,11.0,11.0,9.0,11.0,3,07,18
5,19,126.0,510.0,27.0,0.0,0.0,0.0,0.0,9.0,11.0,3,07,18
0,19,137.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,606.0,3,07,18
5,19,117.0,0.0,37.0,0.0,0.0,8.0,8.0,9.0,905.0,3,07,18
5,19,117.0,0.0,37.0,0.0,0.0,8.0,8.0,9.0,905.0,3,07,18
5,19,117.0,0.0,37.0,0.0,0.0,8.0,8.0,9.0,905.0,3,07,18
3,1,132.0,186.0,23.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,18
3,1,132.0,186.0,23.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,18
3,6,132.0,503.0,37.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,18
1,15,21.0,0.0,17.0,0.0,0.0,8.0,8.0,5.0,1808.0,3,07,18
1,17,21.0,0.0,20.0,0.0,0.0,8.0,8.0,5.0,1837.0,3,07,18
1,15,142.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,1469.0,3,07,18
0,19,123.0,0.0,27.0,0.0,0.0,8.0,8.0,5.0,672.0,3,07,18
1,1,132.0,582.0,18.0,0.0,0.0,8.0,8.0,5.0,11.0,3,07,18
3,6,132.0,622.0,23.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,18
1,17,142.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,1025.0,3,07,18
3,12,21.0,0.0,33.0,0.0,0.0,8.0,8.0,27.0,1365.0,3,07,18
3,1,132.0,186.0,23.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,18
3,19,126.0,383.0,23.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,18
6,19,132.0,132.0,18.0,0.0,0.0,8.0,8.0,25.0,11.0,3,07,18
5,19,117.0,0.0,37.0,0.0,0.0,8.0,8.0,9.0,217.0,3,07,18
6,19,132.0,137.0,23.0,0.0,0.0,8.0,8.0,25.0,11.0,3,07,18
0,19,21.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,1840.0,3,07,24
0,19,21.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,1840.0,3,07,24
0,19,21.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,1840.0,3,07,24
0,19,21.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,1840.0,3,07,24
0,19,21.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,1840.0,3,07,24
0,19,21.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,1840.0,3,07,24
3,4,128.0,0.0,37.0,0.0,0.0,8.0,8.0,27.0,297.0,3,07,24
3,6,132.0,204.0,37.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,24
3,1,132.0,186.0,23.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,24
3,1,132.0,186.0,23.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,24
3,1,132.0,186.0,23.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,24
1,11,142.0,0.0,19.0,0.0,0.0,8.0,8.0,5.0,124.0,3,07,24
3,12,21.0,0.0,18.0,0.0,0.0,8.0,8.0,27.0,1845.0,3,07,24
1,10,58.0,0.0,34.0,0.0,0.0,8.0,8.0,5.0,1254.0,3,07,24
1,19,21.0,632.0,10.0,0.0,0.0,8.0,8.0,5.0,11.0,3,07,24
1,3,89.0,0.0,19.0,0.0,0.0,8.0,8.0,5.0,497.0,3,07,24
